"","x"
"1",6911
"2",6933
"3",6970
"4",6971
"5",7327
"6",7328
"7",8264
"8",8357
"9",9513
"10",9514
"11",9515
"12",9517
"13",9518
"14",9519
"15",9520
"16",9521
"17",9522
"18",9523
"19",9524
"20",9525
"21",9526
"22",9527
"23",9529
"24",9530
"25",9531
"26",9532
"27",9533
"28",9534
"29",9535
"30",9537
"31",9540
"32",9541
"33",9542
"34",9543
"35",9544
"36",9545
"37",9546
"38",9547
"39",9548
"40",9549
"41",9550
"42",9551
"43",9552
"44",9553
"45",9554
"46",9556
"47",9557
"48",9558
"49",9559
"50",9560
"51",9561
"52",9562
"53",9564
"54",9565
"55",9567
"56",9568
"57",9569
"58",9573
"59",9574
"60",9576
"61",9577
"62",9578
"63",9579
"64",9581
"65",9582
"66",9583
"67",9584
"68",9585
"69",9586
"70",9587
"71",9588
"72",9590
"73",9591
"74",9592
"75",9593
"76",9594
"77",9595
"78",9596
"79",9597
"80",9598
"81",9599
"82",9600
"83",9601
"84",9602
"85",9762
"86",9817
"87",9819
"88",9821
"89",9823
"90",9824
"91",9825
"92",9826
"93",9827
"94",9828
"95",9830
"96",9831
"97",9832
"98",9833
"99",9834
"100",9835
"101",9838
"102",9839
"103",9840
"104",9841
"105",9843
"106",9844
"107",9845
"108",9846
"109",9848
"110",9849
"111",9850
"112",9851
"113",9852
"114",9853
"115",9854
"116",9855
"117",9856
"118",9858
"119",9859
"120",9860
"121",9861
"122",9862
"123",9864
"124",9866
"125",9867
"126",9868
"127",9870
"128",9871
"129",9873
"130",9874
"131",9875
"132",9876
"133",9877
"134",9878
"135",9879
"136",9880
"137",9881
"138",9882
"139",9883
"140",9885
"141",9886
"142",9888
"143",9890
"144",9891
"145",9892
"146",9894
"147",9895
"148",9897
"149",9898
"150",9899
"151",9900
"152",9901
"153",9902
"154",9903
"155",9904
"156",9905
"157",9906
"158",9942
"159",9943
"160",9944
"161",9945
"162",9946
"163",9947
"164",9948
"165",9949
"166",9950
