"","TAIR_ID","Entrez_ID","Name","CommonName","logFC","FDR"
"AT3G01345","AT3G01345",2745868,"AT3G01345","uncharacterized",9.1431688508406,8.76698596889018e-10
"AT4G31450","AT4G31450",829272,"AT4G31450","RING/U-box",-2.68059339440058,4.47544251551622e-06
"AT4G35900","AT4G35900",829744,"FD","Basic-leucine",-3.71640838853762,4.47544251551622e-06
"AT1G26310","AT1G26310",839172,"CAL","K-box",-4.99778238213077,5.75778238260222e-05
"AT5G35935.1","AT5G35935.1",NA,NA,NA,2.48425469759767,0.000111207443765013
"AT3G56850","AT3G56850",824852,"AREB3","ABA-responsive",-1.19229755976304,0.000224080974056299
"AT5G26270","AT5G26270",832696,"AT5G26270","uncharacterized",-5.94290258405606,0.000224080974056299
"AT2G01010","AT2G01010",3767991,"AT2G01010","18S",-1.58880315081068,0.000224080974056299
"AT5G44630","AT5G44630",834491,"AT5G44630","Terpenoid",-6.08245881608426,0.000790471444324362
"AT5G44620","AT5G44620",834490,"CYP706A3","cytochrome",-2.64007119113648,0.0016481328650678
"AT3G41979","AT3G41979",3769409,"AT3G41979","5.8S",3.15357099570415,0.00191830980023757
"AT5G35770","AT5G35770",833556,"SAP","Transducin/WD40",-2.8850422451346,0.00191830980023757
"AT1G80830","AT1G80830",844422,"NRAMP1","natural",-1.00470943061082,0.00191830980023757
"AT1G69120","AT1G69120",843244,"AP1","K-box",-5.58447883549506,0.00191830980023757
"AT2G01020","AT2G01020",3767992,"AT2G01020","5S",-1.90416737226432,0.00283653250186249
"AT5G65080","AT5G65080",836632,"MAF5","K-box",1.57509867637081,0.0032957317970727
"AT1G53160","AT1G53160",841749,"SPL4","squamosa",-1.78132385967194,0.0032957317970727
"AT3G50870","AT3G50870",824251,"MNP","GATA",-1.17884082001228,0.00484410893529164
"AT5G09220","AT5G09220",830781,"AAP2","amino",-1.1174768239934,0.00484410893529164
"AT1G02630","AT1G02630",839240,"AT1G02630","Nucleoside",-1.44174530243435,0.00484410893529164
"AT3G42658.1","AT3G42658.1",NA,NA,NA,-4.03300997099663,0.00484410893529164
"AT2G03530","AT2G03530",814882,"UPS2","ureide",1.65636670598697,0.00550613123455609
"AT3G58770","AT3G58770",825046,"AT3G58770","uncharacterized",-1.20762450994483,0.00563363540150281
"AT3G28220","AT3G28220",822448,"AT3G28220","TRAF-like",2.25269793168454,0.00670605011936222
"AT2G17770","AT2G17770",816286,"BZIP27","basic",-1.77233488366266,0.00727113404456439
"AT4G34400","AT4G34400",829590,"AT4G34400","AP2/B3-like",-1.86523814589501,0.00727687729880228
"AT4G14650","AT4G14650",827115,"AT4G14650","uncharacterized",2.09378362711682,0.00727687729880228
"AT2G15400","AT2G15400",816032,"NRPE3B","DNA-directed",-1.04556943830732,0.00727687729880228
"AT5G24860","AT5G24860",832555,"FPF1","flowering",-3.70700568309405,0.00727687729880228
"AT5G60910","AT5G60910",836212,"AGL8","AGAMOUS-like",-1.83949554997319,0.00727687729880228
"AT3G30720","AT3G30720",822807,"QQS","qua-quine",2.74039363975623,0.00727687729880228
"AT1G78000","AT1G78000",844135,"SULTR1;2","sulfate",-1.21153814167909,0.00727687729880228
"AT1G11125","AT1G11125",NA,"AT1G11125",NA,-1.08124352286403,0.00727687729880228
"AT1G07670","AT1G07670",837280,"ECA4","endomembrane-type",-1.07600553372507,0.00727687729880228
"AT1G13710","AT1G13710",837932,"CYP78A5","cytochrome",-1.35922197064194,0.00770253950739634
"AT3G52550","AT3G52550",824421,"AT3G52550","transcription",1.21834793325326,0.00787590815680366
"AT4G22390","AT4G22390",828334,"AT4G22390","F-box",-1.45370422044277,0.00948653676669235
"AT3G63440","AT3G63440",825519,"CKX6","cytokinin",-1.24802624703048,0.0106094525883936
"AT1G69180","AT1G69180",843249,"CRC","Plant-specific",-1.8750720877061,0.0106094525883936
"AT4G02810","AT4G02810",828170,"FAF1","FANTASTIC",-2.063021632454,0.0106094525883936
"AT3G06220","AT3G06220",819796,"AT3G06220","AP2/B3-like",-1.02866198950772,0.0106094525883936
"AT5G04660","AT5G04660",830343,"CYP77A4","cytochrome",1.41159565320179,0.0106094525883936
"AT1G03170","AT1G03170",839563,"FAF2","FANTASTIC",-2.42243140289447,0.0106094525883936
"AT5G48650","AT5G48650",834922,"AT5G48650","Nuclear",-1.02542450166295,0.0106094525883936
"AT3G16410","AT3G16410",820888,"NSP4","nitrile",1.38867399003556,0.0106094525883936
"AT2G02020","AT2G02020",814733,"PTR4","Major",-1.13922177947362,0.0106094525883936
"AT1G02190","AT1G02190",839541,"AT1G02190","Fatty",-1.62846345732327,0.0106094525883936
"AT2G35600","AT2G35600",818126,"BRXL1","BREVIS",-1.03735764585548,0.0106094525883936
"AT2G45660","AT2G45660",819174,"AGL20","AGAMOUS-like",-1.03932550649597,0.0106094525883936
"AT3G61250","AT3G61250",825297,"MYB17","myb",-1.02741243928271,0.0106094525883936
"AT1G51670","AT1G51670",841592,"AT1G51670","uncharacterized",-1.47647894998531,0.0106094525883936
"AT1G64500","AT1G64500",842758,"AT1G64500","Glutaredoxin",1.61158252480911,0.0106094525883936
"AT4G13575","AT4G13575",6240258,"AT4G13575","uncharacterized",1.34960594126005,0.0106094525883936
"AT1G11080","AT1G11080",837649,"scpl31","serine",-1.42872731116658,0.0106094525883936
"AT1G16310","AT1G16310",838200,"AT1G16310","Cation",-1.15467778807358,0.0106094525883936
"AT3G48185","AT3G48185",823974,"AT3G48185","uncharacterized",-1.15987766349534,0.010884747754994
"AT1G49475","AT1G49475",841371,"AT1G49475","AP2/B3-like",-1.3576369990209,0.011271296625603
"AT4G23250","AT4G23250",828424,"EMB1290","cysteine-rich",1.12319940713433,0.0112765863380797
"AT2G39830","AT2G39830",818570,"DAR2","DA1-related",-1.10590626085223,0.0112765863380797
"AT1G26780","AT1G26780",839219,"MYB117","myb",-1.25613013729899,0.0121241320380213
"AT5G61850","AT5G61850",836307,"LFY","floral",-2.13399918324781,0.0121241320380213
"AT5G08050","AT5G08050",830699,"AT5G08050","wiskott-aldrich",1.0868809124922,0.0121740611509952
"AT5G67180","AT5G67180",836853,"TOE3","target",1.25910187101163,0.0121740611509952
"AT2G24700","AT2G24700",817006,"AT2G24700","Transcriptional",-1.15907118121578,0.0122012060959695
"AT5G20830","AT5G20830",832206,"SUS1","sucrose",-1.37224372190879,0.013306758470637
"AT2G41640","AT2G41640",818762,"AT2G41640","Glycosyltransferase",-1.76332722849373,0.013306758470637
"AT4G28780","AT4G28780",828999,"AT4G28780","GDSL-like",1.35615759207039,0.013306758470637
"AT1G56680","AT1G56680",842124,"AT1G56680","Chitinase",-1.82404469671957,0.013306758470637
"AT5G03840","AT5G03840",831683,"TFL1","PEBP",-2.36452367492092,0.013306758470637
"AT1G29920","AT1G29920",839870,"CAB2","chlorophyll",2.53662918116674,0.013306758470637
"AT1G44800","AT1G44800",841044,"SIAR1","nodulin",-1.29051772845931,0.013306758470637
"AT3G26760","AT3G26760",822289,"AT3G26760","NAD(P)-binding",-1.00205152135179,0.0141836685775933
"AT4G25810","AT4G25810",828686,"XTR6","xyloglucan",2.74757240345714,0.0147289927001956
"AT1G02205","AT1G02205",837602,"CER1","Fatty",1.25630785646153,0.0147289927001956
"AT1G55580","AT1G55580",842007,"LAS","GRAS",-1.426906938164,0.0157311367688387
"AT3G08920","AT3G08920",820041,"AT3G08920","Rhodanese/Cell",1.13069328062727,0.0157311367688387
"AT4G37980","AT4G37980",829954,"ELI3-1","cinnamyl",3.71486138755236,0.0157311367688387
"AT4G31620","AT4G31620",829290,"AT4G31620","Transcriptional",-1.2621472165714,0.0164672441633407
"AT1G64240.1","AT1G64240.1",NA,NA,NA,-2.1699654826988,0.0172286575972942
"AT5G54190","AT5G54190",835507,"PORA","protochlorophyllide",4.61955837355245,0.017609925792372
"AT3G23810","AT3G23810",821964,"SAHH2","S-adenosyl-l-homocysteine",1.10538646481408,0.0177917936320022
"AT5G21150","AT5G21150",832241,"AGO9","Argonaute",-1.08804780830197,0.0178617513906024
"AT1G55940","AT1G55940",842045,"CYP708A1","cytochrome",1.56221772983955,0.0178617513906024
"AT1G70510","AT1G70510",843388,"KNAT2","homeobox",-1.46014389568699,0.0179366067781024
"AT3G30530","AT3G30530",822767,"bZIP42","basic",-1.49275661174638,0.0179886657597458
"AT4G04840","AT4G04840",825821,"MSRB6","methionine",3.79801253230571,0.0182908177406807
"AT1G23380","AT1G23380",838946,"KNAT6","homeobox",-1.24823940422106,0.0183284339112481
"AT1G74730","AT1G74730",843812,"AT1G74730","transmembrane",1.02053544529483,0.0186248072762159
"AT1G22490","AT1G22490",838855,"AT1G22490","basic",-1.05101606521306,0.0186248072762159
"AT3G53450","AT3G53450",824513,"LOG4","Putative",-1.2601175934734,0.0186248072762159
"AT2G30540","AT2G30540",817603,"AT2G30540","Thioredoxin",-1.12719716139092,0.0186248072762159
"AT1G10980","AT1G10980",837641,"AT1G10980","Lung",-1.41363538535542,0.0186248072762159
"AT4G31610","AT4G31610",829288,"REM1","Transcriptional",-2.16166786738485,0.0186986286320818
"AT1G69600","AT1G69600",843296,"ZFHD1","zinc",-1.74259603018755,0.0188052791119905
"AT2G45410","AT2G45410",819149,"LBD19","LOB",-1.6163707608141,0.0191703385936076
"AT1G78070","AT1G78070",844142,"AT1G78070","Transducin/WD40",1.58753863832337,0.0191703385936076
"AT2G45600","AT2G45600",819168,"AT2G45600","alpha/beta-Hydrolases",1.65084275395495,0.0191703385936076
"AT3G51660","AT3G51660",824329,"AT3G51660","Tautomerase/MIF",1.34273200158966,0.0192966116708061
"AT1G14580","AT1G14580",838020,"AT1G14580","C2H2-like",1.41695584038781,0.0192966116708061
"AT2G33850","AT2G33850",817954,"AT2G33850","E6-like",1.78720059883326,0.0192966116708061
"AT1G07180","AT1G07180",837229,"NDA1","alternative",2.48354859720144,0.0192966116708061
"AT4G26540","AT4G26540",828760,"AT4G26540","Leucine-rich",1.17153040832898,0.0192966116708061
"AT2G21510","AT2G21510",816690,"AT2G21510","DNAJ",1.63716063925645,0.0192966116708061
"AT4G08290","AT4G08290",826383,"UMAMIT20","nodulin",-1.52227889542518,0.0192966116708061
"AT5G61270","AT5G61270",836248,"PIF7","phytochrome-interacting",2.62499340504722,0.0193081036938379
"AT3G48460","AT3G48460",824005,"AT3G48460","GDSL-like",1.57643370974991,0.0197218149952353
"AT1G51100","AT1G51100",841533,"CRR41","potassium/sodium",1.01508218142596,0.0198736308236647
"AT2G44745","AT2G44745",819083,"WRKY12","WRKY",-1.36546834812108,0.0203396298513547
"AT1G65450","AT1G65450",842857,"GLC","HXXXD-type",2.82087286963537,0.0207208732213915
"AT3G15570","AT3G15570",820797,"AT3G15570","Phototropic-responsive",1.23960838761218,0.0211581384421922
"AT1G76800","AT1G76800",844014,"AT1G76800","Vacuolar",-1.11269872871465,0.0213826806651078
"AT1G67195","AT1G67195",3767655,"MIR414",NA,1.33314628919297,0.0214896037730281
"AT4G13572","AT4G13572",NA,"AT4G13572",NA,1.35211438890857,0.0215832690492121
"AT1G14760","AT1G14760",838041,"KNATM","KNOX",-1.17445455420394,0.0215832690492121
"AT2G20570","AT2G20570",816579,"GPRI1","GBF's",1.47781499673432,0.0215832690492121
"AT3G05730","AT3G05730",819742,"AT3G05730","defensin-like",2.31003302458944,0.0215832690492121
"AT3G06640","AT3G06640",819844,"AT3G06640","PAS",-1.63809016375125,0.0215832690492121
