"","logFC","FDR"
"AT2G13550",1.97303248507306,6.4818499039987e-06
"AT5G24240",2.60907178576272,4.3958139386599e-05
"AT3G30122",1.63647856399353,0.00118120121038685
"AT1G53480",5.51883638424439,0.0024655997560387
"AT1G53490",1.07951038894271,0.0024655997560387
"AT5G37940",3.96795075516833,0.00658456573507994
"AT3G01345",6.70538074439972,0.00789678383353993
"AT2G21650",-1.08366939870073,0.0241675771527643
"AT5G15720",2.69611896749014,0.0241675771527643
"AT5G44700",1.74899398405413,0.0282225332544081
"AT5G37950",1.84403045124758,0.0344563986782342
"AT3G53310",1.03140452867755,0.0400355356249291
"AT2G14580",-1.02893070318173,0.0474508048344961
